name,lat,lon
CASERNE DEROUA,33.4084872,-7.5333368
CASERNE MLY YOUSSEF,33.6176483,-7.4584231
CASERNE MLY YOUSSEF,33.6177314,-7.4585818
CASERNE NOUACEUR,33.3984834,-7.579771
CASERNE NOUACEUR,33.39872,-7.5797309
CENTRE COMMERCIAL EMILE ZOLA,33.5935832,-7.5971317
CENTRE COMMERCIAL EMILE ZOLA,33.5936629,-7.5968561
CENTRE CULTUREL,33.5257386,-7.6506231
CENTRE CULTUREL,33.5263108,-7.6503367
CENTRE D'HEMODIALYSE 2 MARS,33.5522188,-7.6035315
CENTRE D'HEMODIALYSE 2 MARS,33.5522818,-7.6033753
CENTRE DE L'ADDICTOLOGIE,33.5763103,-7.61886
CENTRE DE L'ADDICTOLOGIE,33.5763793,-7.6190346
CENTRE DE MAINTENANCE TRAMWAY,33.5770256,-7.5169576
CENTRE DE MAINTENANCE TRAMWAY,33.5770801,-7.5172149
CENTRE DE SANTE OUHOUDE,33.5973188,-7.6457243
CENTRE DE SANTE OUHOUDE,33.5974604,-7.6457984
CENTRE DE SANTE RIAD,33.6844925,-7.3839128
CENTRE DE SANTE RIAD,33.6845807,-7.384319
CENTRE DE SANTE VECTORIA,33.4242092,-7.6740896
CENTRE DE SANTE VECTORIA,33.4244957,-7.673983
CENTRE DPK (ALSA),33.5739317,-7.574859
CENTRE DPK (ALSA),33.5739861,-7.574835
CENTRE EMERGENT,33.4527145,-7.5000875
CENTRE EMERGENT,33.4527638,-7.4998937
CENTRE FEMININ,33.5618109,-7.6019884
CENTRE FEMININ,33.5620128,-7.6018954
CENTRE NOUR,33.4781818,-7.6378752
CENTRE NOUR,33.4781875,-7.6375979
CENTRE OFPPT ESSAFA,33.5521158,-7.6926823
CENTRE OFPPT ESSAFA,33.5522695,-7.6927674
CENTRE SIDI MOUMEN,33.5802886,-7.5436809
CENTRE SIDI MOUMEN,33.5803144,-7.5438087
CHARCOMEM,33.505615,-7.5006283
CHARCOMEM,33.5057124,-7.5002032
CHATEAU EL QODS,33.6087084,-7.5011458
CHATEAU EL QODS,33.6088862,-7.5010878
CHATEAU MEDIOUNA,33.4577168,-7.522435
CHATEAU MEDIOUNA,33.4577673,-7.5219641
CHEFCHAOUNI,33.6211044,-7.511161
CHEFCHAOUNI,33.6213926,-7.5110487
CHELLAL,33.6218338,-7.4517229
CHELLAL,33.6219581,-7.4513093
CHICHANE,33.5402044,-7.5412847
CHICHANE 1,33.5401323,-7.5409674
CHTAIBA,33.5656633,-7.5709881
CIMETIERE SBATA,33.5467914,-7.5641594
CIMETIERE SBATA,33.5477519,-7.5658375
CIMETIERE SIDI MOUMEN,33.5779624,-7.5192621
CIMETIERE SIDI MOUMEN,33.5779888,-7.519152
CINEMA EL FALAH,33.5591029,-7.5506172
CINEMA EL FALAH,33.5593126,-7.5503599
CINEMA EL OTHMANIA,33.5602741,-7.5746348
CINEMA EL OTHMANIA,33.560583,-7.5748833
CINEMA MEGARAMA,33.5948645,-7.6698791
CINEMA MEGARAMA,33.5950143,-7.6698841
CINEMA SAHRA,33.5510217,-7.5991279
CINEMA SAHRA,33.5511678,-7.5991587
CINEMA VERDIN,33.5959555,-7.6259701
CINEMA VERDIN,33.5960194,-7.6258733
CITE CHEMINOT,33.5994446,-7.5684221
CITE CHEMINOT,33.5995912,-7.5683724
CITE DE POLICE (BERNOUSSI),33.6030637,-7.519548
CITE DE POLICE (BERNOUSSI),33.6031067,-7.5197978
CITE DE POLICE IBN SINA,33.5661529,-7.6811608
CITE DE POLICE IBN SINA,33.5664506,-7.6807016
CITE DES MÉTIERS,33.3999091,-7.5553609
CITE DES MÉTIERS,33.400012,-7.5549853
CITE PLATEAU,33.5680984,-7.6367602
CITE PLATEAU,33.5681992,-7.6365098
CITY AIN SEBAA,33.5988593,-7.5393339
CITY AIN SEBAA,33.5991378,-7.5394253
CLINIQUE ABBADI,33.5689211,-7.6611614
CLINIQUE ABBADI,33.5690758,-7.6610399
CLINIQUE ABDELMOUMEN,33.5652809,-7.6265452
CLINIQUE ABDELMOUMEN,33.5655544,-7.6268366
CLINIQUE AIN CHOC,33.5493122,-7.6022183
CLINIQUE AIN CHOC,33.549346,-7.6023581
CLINIQUE ANDALOUS,33.5965378,-7.6546595
CLINIQUE ANDALOUS,33.5966526,-7.6549001
CLINIQUE BEN SOUDA,33.5859288,-7.6526718
CLINIQUE BEN SOUDA 2,33.5854813,-7.6539031
CLINIQUE CIL,33.5673054,-7.6582112
CLINIQUE DAR SALAM,33.5619383,-7.6193105
CLINIQUE DAR SALAM,33.5620938,-7.6196253
CLINIQUE DENTAIRE,33.5872472,-7.6473789
CLINIQUE DENTAIRE,33.5874653,-7.6471967
CLINIQUE FDALA,33.6963492,-7.3918202
CLINIQUE FDALA,33.6964558,-7.3916999
CLINIQUE NORMANDIE,33.5839378,-7.6495485
CLINIQUE NORMANDIE,33.5839906,-7.6505335
CLINIQUE RIVIERA,33.5673532,-7.6407915
CLINIQUE RIVIERA,33.5675158,-7.6407146
CLINIQUE SARA,33.570035,-7.6668932
CLINIQUE SARA,33.5703936,-7.6668376
CLINIQUE SIDI OTHMANE,33.5608109,-7.561371
CLINIQUE SIDI OTHMANE,33.5609628,-7.5615314
